Game,Genre
League of Legends,"MOBA,Action"
Counter-Strike: Global Offensive,"FPS,Shooter,Action"
Dota 2,"MOBA,Action,Strategy"
Hearthstone,"Card & Board Game,Strategy"
Call of Duty: Black Ops III,"FPS,Shooter,Adventure Game,Action"
Minecraft,"Adventure Game,Arcade,MMO,Survival,Open World"
World of Warcraft,"RPG,Adventure Game,MMO,Action"
Z1: Battle Royale,"Shooter,FPS,Adventure Game,Action,Survival"
Talk Shows & Podcasts,IRL
FIFA 16,Sports Game
StarCraft II,"RTS,Strategy"
Diablo III,"RPG,Action,Horror,Adventure Game"
Destiny,"FPS,Shooter,RPG,MMO,Action"
Blade & Soul,"RPG,MMO"
World of Tanks,"Simulation,FPS,Shooter,Strategy,Arcade"
Tom Clancy's Rainbow Six Siege,"FPS,Shooter,Action"
RuneScape,"RPG,Point and Click,Strategy,Adventure Game,MMO"
Tom Clancy's The Division,"RPG,Shooter,Strategy,Adventure Game,MMO"
Grand Theft Auto V,"Adventure Game,FPS,Shooter,Action,Open World"
SMITE,"MOBA,Action,Strategy,Adventure Game"
XCOM 2,"Strategy,RPG"
Overwatch,"FPS,Shooter,Strategy,Action"
Street Fighter V,"Fighting,Action"
Heroes of the Storm,"MOBA,Action"
Stardew Valley,"RPG,Simulation,Indie Game,Open World"
Dark Souls III,"RPG,Action,Adventure Game,Open World"
The Culling,"Action,FPS,Shooter,Indie Game,Survival"
Creative,
Music,"IRL,Creative"
Poker,"Card & Board Game,Gambling Game"
Uncharted 4: A Thief's End,"Action,Shooter,Stealth,Adventure Game"
DOOM,"Shooter,FPS,Horror,Action"
E3 2016,
Dead by Daylight,"Action,Horror,Strategy,Survival,Stealth"
NBA 2K16,"Sports Game,Simulation,Action"
Arma 3,"Simulation,FPS,Shooter,Strategy,Action"
Pok<U+00E9>mon GO,"Simulation,Strategy,Adventure Game,MMO,Mobile Game"
No Man's Sky,"Simulation,Adventure Game,FPS,Shooter,RPG"
FIFA 17,Sports Game
Path of Exile,"Action,RPG,Adventure Game,Indie Game,MMO"
Battlefield 1,"FPS,Shooter,Action"
Call of Duty: Infinite Warfare,"FPS,Shooter,Adventure Game,Action"
Call of Duty: Modern Warfare Remastered,"FPS,Shooter,Action"
Final Fantasy XV,"Action,RPG,Survival,Adventure Game,Open World"
Resident Evil 7 biohazard,"Action,Horror,Adventure Game,FPS,Shooter"
For Honor,"Action,Fighting"
Conan Exiles,"RPG,Fighting,Simulation,Adventure Game,MMO"
Nioh,"Action,RPG"
IRL,
PLAYERUNKNOWN'S BATTLEGROUNDS,"Shooter,FPS,Indie Game,Action,Adventure Game"
The Legend of Zelda: Breath of the Wild,"Action,Adventure Game,RPG,Survival,Open World"
Power Rangers: Battle for the Grid,"Fighting,Action"
Horizon Zero Dawn,"RPG,Shooter,Action,Stealth,Open World"
Casino_old,"Simulation,Strategy"
Outlast 2,"Horror,Adventure Game,Indie Game,Action,Survival"
Friday the 13th: The Game,"Action,Horror,Survival,Stealth"
E3 2017,
Tekken 7,"Fighting,Action"
Black Desert Online,"RPG,Simulation,Strategy,Adventure Game,MMO"
Rocket League,"Driving/Racing Game,Action,Sports Game,Indie Game"
Darkest Dungeon,"RPG,Indie Game,Horror,Strategy,Adventure Game"
Fortnite,"Shooter,Action,Survival,Strategy,RPG"
